north,south,east,west,servo1,servo2,servo3,servo4
90.0,45.0,2.5,-10.0,1.697,2.073,1.443,1.526
90.0,45.0,2.5,-10.0,2.346,2.164,1.426,1.526
90.0,45.0,2.5,-10.0,2.664,2.161,1.427,1.528
90.0,45.0,2.5,-10.0,2.673,2.159,1.424,1.527
90.0,45.0,2.5,-10.0,2.673,2.16,1.425,1.527
90.0,45.0,2.5,-10.0,2.675,2.16,1.425,1.527
90.0,45.0,2.5,-10.0,2.674,2.16,1.425,1.528
90.0,45.0,2.5,-10.0,2.674,2.159,1.425,1.527
90.0,45.0,2.5,-10.0,2.673,2.16,1.424,1.528
90.0,45.0,2.5,-10.0,2.673,2.16,1.426,1.528
90.0,45.0,2.5,-10.0,2.675,2.158,1.425,1.527
90.0,45.0,2.5,-10.0,2.673,2.159,1.425,1.526
90.0,45.0,2.5,-10.0,2.675,2.159,1.425,1.528
90.0,45.0,2.5,-10.0,2.675,2.161,1.424,1.529
90.0,45.0,2.5,-10.0,2.674,2.16,1.425,1.53
90.0,45.0,2.5,-10.0,2.674,2.16,1.424,1.528
90.0,45.0,2.5,-10.0,2.675,2.16,1.425,1.526
90.0,45.0,2.5,-10.0,2.672,2.16,1.426,1.527
90.0,45.0,2.5,-10.0,2.674,2.16,1.424,1.527
90.0,45.0,2.5,30.0,2.674,2.154,1.425,1.532
90.0,45.0,7.5,30.0,2.676,2.158,1.449,1.573
90.0,45.0,7.5,30.0,2.674,2.159,1.743,1.577
90.0,45.0,7.5,30.0,2.674,2.159,1.823,1.575
90.0,45.0,7.5,30.0,2.674,2.161,1.823,1.576
90.0,45.0,7.5,30.0,2.673,2.16,1.823,1.577
90.0,45.0,7.5,30.0,2.674,2.159,1.822,1.575
90.0,45.0,7.5,30.0,2.675,2.161,1.822,1.576
90.0,45.0,7.5,30.0,2.674,2.16,1.821,1.577
